Object,API Names,Field Types,Relationship Types
PATIENT,"Account__c, Address__c, Blood_Group__c, CreatedById, Date_of_Birth__c, email__c, Emergency_Contact__c, Full_Name__c, Gender__c, LastModifiedById, Linked_User__c, OwnerId, Name, Phone_No__c","Lookup(Account), Address, Picklist, Lookup(User), Date, Email, Phone, Text(50), Picklist, Lookup(User), Lookup(User), Lookup(User,Group), Auto Number, Phone","Lookup(Account), Lookup(User), Lookup(User), Lookup(User,Group)"
DOCTOR,"Availability__c, Consultation_Fees__c, CreatedById, Name, Email__c, Gender__c, LastModifiedById, Medical_Degree__c, Name__c, OwnerId, Phone__c, Shift__c, Shift_Type__c, Specialization__c, Started_Practice__c, Years_of_Experience__c","Picklist, Currency(4, 0), Lookup(User), Auto Number, Email, Picklist, Lookup(User), Picklist, Text(20), Lookup(User,Group), Phone, Picklist, Picklist, Picklist, Date, Formula (Number)","Lookup(User), Lookup(User), Lookup(User,Group)"
NURSE,"Availability__c, CreatedById, Email__c, Fee__c, LastModifiedById, Name__c, Name, OwnerId, Room_Assigned__c, Shift_Type__c, Started_Practice__c, Years_of_Experience__c","Picklist, Lookup(User), Email, Currency(18, 0), Lookup(User), Text(20), Auto Number, Lookup(User,Group), Lookup(Room), Picklist, Date, Formula (Number)","Lookup(User), Lookup(User), Lookup(User,Group), Lookup(Room)"
AVAILABLE SLOT,"Name, CreatedById, Doctor__c, End_Time__c, LastModifiedById, Slot_Display__c, Start_Time__c","Auto Number, Lookup(User), Master-Detail(Doctor), Time, Lookup(User), Formula (Text), Time","Lookup(User), Master-Detail(Doctor), Lookup(User)"
APPOINTMENT,"Appointment_Slot__c, Appointment_Type__c, Name, Bed_No__c, Cancel_Appointment__c, Cancellation_Date__c, Cancellation_Reason__c, Cancelled_By__c, CreatedById, Doctor__c, Doctor_Name__c, Is_Room_Required__c, LastModifiedById, OwnerId, Patient__c, Patient_Name__c, Room_Type__c, Scheduled_Date__c, Specialization__c, Status__c, Time_Slot__c","Lookup(Available Slot), Picklist, Auto Number, Lookup(Bed), Checkbox, Date/Time, Text Area(255), Lookup(User), Lookup(User), Lookup(Doctor), Formula (Text), Checkbox, Lookup(User), Lookup(User,Group), Lookup(Patient), Formula (Text), Picklist, Date, Picklist, Picklist, Formula (Text)","Lookup(Available Slot), Lookup(Bed), Lookup(User), Lookup(Doctor), Lookup(User), Lookup(User,Group), Lookup(Patient)"
PRESCRIPTION,"Appointment_Id__c, CreatedById, Doctor_Name__c, Follow_Up_Appointment__c, Follow_Up_Date__c, LastModifiedById, Medicine_Dosage__c, Patient_Name__c, Name, Recommend_Doctor__c, Specialization__c","Master-Detail(Appointment), Lookup(User), Formula (Text), Checkbox, Date, Lookup(User), Rich Text Area(32768), Formula (Text), Auto Number, Checkbox, Picklist","Master-Detail(Appointment), Lookup(User)"
ROOM,"Capacity__c, CreatedById, Doctor__c, LastModifiedById, Nurse__c, OwnerId, Name, Room_Type__c","Number(18, 0), Lookup(User), Lookup(Doctor), Lookup(User), Lookup(Nurse), Lookup(User,Group), Auto Number, Picklist","Lookup(User), Lookup(Doctor), Lookup(User), Lookup(Nurse), Lookup(User,Group)"
OPERATION ROOM,"Availability__c, CreatedById, Is_Emergency_OT__c, LastModifiedById, Name, OwnerId","Picklist, Lookup(User), Checkbox, Lookup(User), Auto Number, Lookup(User,Group)","Lookup(User), Lookup(User), Lookup(User,Group)"
SURGERY,"Appointment_ID__c, Assistant_Surgeon__c, CreatedById, LastModifiedById, Nurse__c, Outcome__c, Patient__c, Status__c, Surgeon__c, Surgery_Charges__c, Surgery_Date__c, Name, Surgery_Type__c","Master-Detail(Appointment), Lookup(Doctor), Lookup(User), Lookup(User), Lookup(Nurse), Long Text Area(32768), Master-Detail(Patient), Picklist, Lookup(Doctor), Currency(16, 2), Date/Time, Auto Number, Picklist","Master-Detail(Appointment), Lookup(Doctor), Lookup(User), Lookup(Nurse), Master-Detail(Patient)"
LAB TEST,"Appointment_ID__c, CreatedById, Name, LastModifiedById, OwnerId, Patient__c, Patient_ID__c, Requested_Date__c, Result__c, Result_Status__c, Test_Charge__c, Test_Date__c, Test_Name__c, Test_Type__c","Lookup(Appointment), Lookup(User), Text(80), Lookup(User), Lookup(User,Group), Formula (Text), Lookup(Patient), Date, Rich Text Area(32768), Picklist, Formula (Currency), Date, Auto Number, Picklist","Lookup(Appointment), Lookup(User), Lookup(User,Group), Lookup(Patient)"
BILLING,"Appointment_ID__c, Billing_Date__c, Name, CreatedById, Doctor_Name__c, LastModifiedById, Patient_ID__c, Patient_Name__c, Payment_Status__c, Specialization__c, Total_Charges__c","Master-Detail(Appointment), Date/Time, Auto Number, Lookup(User), Formula (Text), Lookup(User), Lookup(Patient), Formula (Text), Picklist, Formula (Text), Roll-Up Summary (SUM Billing Line Item)","Master-Detail(Appointment), Lookup(User), Lookup(Patient)"
BILLING LINE ITEM,"Appointment_ID__c, Bed_Number__c, Billing_ID__c, Name, Charges__c, CreatedById, Lab_Test_Name__c, LastModifiedById, Patient_ID__c, Patient_Name__c, Service_Type__c, Surgery_Name__c","Lookup(Appointment), Lookup(Bed), Master-Detail(Billing), Auto Number, Currency(16, 2), Lookup(User), Lookup(Lab Test), Lookup(User), Lookup(Patient), Formula (Text), Picklist, Lookup(Surgery)","Lookup(Appointment), Lookup(Bed), Master-Detail(Billing), Lookup(User), Lookup(Lab Test), Lookup(Patient), Lookup(Surgery)"
BED,"Assigned_Date__c, Bed_charges__c, Name, CreatedById, LastModifiedById, OwnerId, Patient_ID__c, Room__c, Room_Type__c, Status__c","Date, Formula (Currency), Auto Number, Lookup(User), Lookup(User), Lookup(User,Group), Lookup(Patient), Lookup(Room), Picklist, Picklist","Lookup(User), Lookup(User,Group), Lookup(Patient), Lookup(Room)"
